date-time,year,week,avg_comment_length,avg_comment_ttr,avg_comment_fkgl
2016-01-04,2016,1,282.02777777777777,0.5586538072755971,11.172222222222222
2016-01-11,2016,2,229.5,0.5602950324357949,12.7
2016-01-25,2016,4,221.5909090909091,0.5752815593598922,10.41958041958042
2016-02-22,2016,8,151.0,0.5988700564971752,12.7
2016-03-07,2016,10,229.93037794828078,0.5606431511403623,9.180944515487354
2016-03-14,2016,11,162.0,0.5860215053763441,8.8
2016-03-28,2016,13,257.0,0.5631768953068592,13.3
2016-04-04,2016,14,167.0,0.6030222693531283,11.3
2016-04-11,2016,15,324.2647058823529,0.47856036056856177,10.108823529411765
2016-05-02,2016,18,234.8,0.5457437176792639,9.0
2016-05-09,2016,19,221.58333333333334,0.5911824695520411,9.725
2016-05-23,2016,21,357.0,0.4864864864864865,11.0
2016-06-06,2016,23,182.0,0.6161137440758294,9.8
2016-06-13,2016,24,611.25,0.48911916143458756,14.225
2016-06-27,2016,26,188.33333333333334,0.6071904318263542,9.933333333333334
2016-07-25,2016,30,382.0,0.5348803505224132,11.5
2016-08-01,2016,31,206.12686567164178,0.5565961008769168,14.341044776119404
2016-09-05,2016,36,196.3125,0.5545711695828943,11.5125
2016-09-26,2016,39,155.0,0.5631578947368421,7.6
2016-10-17,2016,42,155.0,0.7076923076923077,2.3
2016-10-31,2016,44,160.0,0.6316660132815377,11.700000000000001
2016-11-07,2016,45,291.5,0.5448487622076723,9.05
2016-11-14,2016,46,235.54166666666669,0.537270888241272,10.595833333333333
2016-11-21,2016,47,282.375,0.5390488833602649,9.1
2016-12-19,2016,51,242.66666666666666,0.5481934528412945,9.700000000000001
2017-01-02,2017,1,167.75,0.6146297482917485,10.65
2017-01-23,2017,4,153.0,0.6074074074074074,17.4
2017-02-06,2017,6,209.6,0.5600009825729957,10.06
2017-03-06,2017,10,223.5,0.5479578550762778,8.6125
2017-03-13,2017,11,165.2,0.5996205174548945,12.2
2017-03-20,2017,12,179.5,0.5862539398490625,12.259090909090908
2017-04-03,2017,14,250.44444444444443,0.5207043842755305,10.03888888888889
2017-04-17,2017,16,186.0,0.592274678111588,11.2
2017-04-24,2017,17,231.33333333333334,0.5653011513088535,8.733333333333333
2017-05-01,2017,18,220.5,0.5775930527448319,8.65
2017-05-08,2017,19,199.0,0.594488188976378,8.3
2017-05-15,2017,20,204.0,0.562753036437247,11.4
2017-05-22,2017,21,174.9,0.5847827021094223,11.56
2017-06-05,2017,23,194.16666666666666,0.590772815176226,14.133333333333333
2017-06-12,2017,24,235.5,0.559747411079574,13.25
2017-06-19,2017,25,197.875,0.5956581296416592,11.9125
2017-06-26,2017,26,168.0,0.5807560137457045,13.3
2017-07-03,2017,27,242.40425531914894,0.5520431750998491,9.47659574468085
2017-07-17,2017,29,178.0,0.645933014354067,8.7
2017-07-24,2017,30,211.30701754385964,0.566763755883077,9.207894736842103
2017-07-31,2017,31,284.11111111111114,0.564213916761954,11.652380952380952
2017-08-07,2017,32,202.62857142857143,0.5841438260883552,9.639285714285714
2017-08-14,2017,33,196.33333333333334,0.5465330107958578,9.666666666666666
2017-08-21,2017,34,157.0,0.6184971098265896,8.6
2017-08-28,2017,35,201.0,0.5749848491993217,12.125
2017-09-04,2017,36,214.79166666666666,0.589191423052419,11.689583333333333
2017-09-11,2017,37,202.0,0.6236559139784946,13.2
2017-09-18,2017,38,242.63104838709677,0.5588958167741863,8.522782258064517
2017-09-25,2017,39,352.53846153846155,0.5247564472210307,10.315384615384614
2017-10-16,2017,42,229.9830687830688,0.5320205217804033,11.33936507936508
2017-10-23,2017,43,180.0,0.5429539295392953,13.95
2017-10-30,2017,44,198.57142857142858,0.5781952470926833,10.25
2017-11-06,2017,45,193.5,0.6005221985065564,11.6875
2017-11-13,2017,46,236.7333333333333,0.5605702765667078,10.17
2017-11-27,2017,48,199.24444444444444,0.5784099237337683,9.70111111111111
2017-12-04,2017,49,188.86666666666667,0.5884314552657697,9.405555555555555
2017-12-11,2017,50,215.984375,0.5750989049245917,10.190312500000001
2017-12-18,2017,51,234.0,0.5542939696280178,9.600000000000001
2017-12-25,2017,52,221.55555555555554,0.5720511216417535,9.6
2018-01-01,2018,1,410.125,0.471948283783874,10.2125
2018-01-08,2018,2,158.0,0.6577540106951871,10.2
2018-01-15,2018,3,205.33333333333334,0.5225657603039946,8.57
2018-01-22,2018,4,438.0,0.43087971274685816,11.8
2018-01-29,2018,5,213.11363636363637,0.5719069192577708,10.586363636363636
2018-02-05,2018,6,251.75,0.5144235994334835,9.524999999999999
2018-02-12,2018,7,165.5,0.6471348024350249,8.600000000000001
2018-02-19,2018,8,288.5,0.5376206104891812,10.233333333333334
2018-02-26,2018,9,312.25,0.5322481322600274,9.416666666666666
2018-03-05,2018,10,207.5,0.5963433137800875,10.337499999999999
2018-03-12,2018,11,193.33333333333334,0.5781063171956639,11.6
2018-03-19,2018,12,239.43684210526317,0.5556516515191501,10.037744360902256
2018-03-26,2018,13,244.33333333333334,0.6058837028835325,12.033333333333333
2018-04-02,2018,14,284.8,0.5505842838645548,9.34
2018-04-09,2018,15,207.9768115942029,0.5712548252823456,9.162608695652173
2018-04-23,2018,17,240.73333333333335,0.5995437666651668,11.079333333333334
2018-04-30,2018,18,213.63333333333333,0.5611712349720722,11.872222222222222
2018-05-07,2018,19,223.64285714285714,0.5773665483997453,8.496666666666666
2018-05-14,2018,20,246.49611528822055,0.5539522203211689,12.825546365914786
2018-05-21,2018,21,255.6333333333333,0.5674925723368153,9.573333333333334
